Cardinality,M2,M3,M4,Maximum,Mean,Minimum,Variable,Block Number,Row ID
1001,148.297,-1660.53,19931.9,1.36027,-1.03735,-12.9142,              drag_Gamma_0_2,1,0
1001,0.00020313,-2.59655e-06,3.65102e-08,0.00226552,-0.00106062,-0.0148719,              lift_Gamma_0_2,1,1
