                        time,              drag_Gamma_0_2,              lift_Gamma_0_2
      1.3700000000000010e+00,      3.4465581116096169e+07,     -4.9475993942364797e+07
      1.3800000000000010e+00,      7.8557855162737131e+07,     -1.4914292802676124e+07
      1.3900000000000010e+00,      2.7779651844892889e+07,      5.3751888956755424e+08
      1.4000000000000010e+00,      1.5282043978421977e+09,      1.2557438486222510e+09
      1.4100000000000010e+00,      6.6455751794216350e+07,     -2.8399060188964397e+07
      1.4200000000000010e+00,      3.1557820342665456e+07,     -1.1193272451867075e+06
      1.4300000000000010e+00,     -4.4407017306807376e+06,      1.2106057217734996e+07
      1.4400000000000011e+00,      2.3996186805355966e+07,     -2.9786918580748551e+07
      1.4500000000000011e+00,      7.6591566460547261e+06,      1.3315309472618138e+06
      1.4600000000000011e+00,     -4.2064430630115330e+07,      3.3934885926710330e+07
      1.4700000000000011e+00,     -1.7181819566182554e+07,      3.6931648994752085e+08
      1.4800000000000011e+00,      1.3493109559757513e+08,     -5.2845052724096768e+07
      1.4900000000000011e+00,      1.5361648876081564e+07,     -5.8017442411435926e+06
      1.5000000000000011e+00,      1.9567688611846417e+06,     -1.7354254183478653e+07
      1.5100000000000011e+00,     -1.9463865376032840e+07,      9.4602606493440587e+06
      1.5200000000000011e+00,     -2.5462318697494902e+06,      7.3103023164371988e+06
      1.5300000000000011e+00,     -1.6996792252640717e+07,      7.5514463198827179e+06
      1.5400000000000011e+00,      1.2670347580994152e+07,      1.3708355877921495e+05
      1.5500000000000012e+00,     -6.7874728350669742e+07,     -4.3833241307034522e+08
      1.5600000000000012e+00,      1.3788752282124453e+09,      5.5035267354982746e+08
      1.5700000000000012e+00,      6.0259597594689012e+08,     -2.4014020625003850e+08
      1.5800000000000012e+00,     -1.7553544660516292e+08,      1.3218637891944293e+07
      1.5900000000000012e+00,      2.0153433325309716e+07,      5.9939462000072315e+07
      1.6000000000000012e+00,      5.6570327552045137e+05,      1.6005669518313233e+07
      1.6100000000000012e+00,      7.3003197689016163e+07,      2.7936303485114746e+07
      1.6200000000000012e+00,     -1.4367047692769167e+08,      3.2985947464957152e+07
      1.6300000000000012e+00,      9.1616013423664808e+07,     -3.9916800894864082e+07
      1.6400000000000012e+00,     -6.7304313861597273e+06,     -1.5094248536419403e+07
      1.6500000000000012e+00,     -3.2535159605745971e+06,     -6.7745095436125807e+06
      1.6600000000000013e+00,     -2.0499018910392108e+09,     -4.6304801291970503e+08
      1.6700000000000013e+00,      5.3543579604705548e+08,      4.2368261163938659e+08
      1.6800000000000013e+00,     -4.2115470799742699e+07,     -5.7655077837767620e+09
      1.6900000000000013e+00,      4.8058543857998088e+07,      6.5598828930947304e+07
      1.7000000000000013e+00,     -6.5521864727607891e+06,     -9.0232895597264897e+06
      1.7100000000000013e+00,     -1.8121396997857586e+07,      6.0825821134603128e+07
      1.7200000000000013e+00,      2.5131048136247897e+08,     -1.7872614359642320e+09
      1.7300000000000013e+00,      4.7757001997568039e+10,     -2.3732518598250702e+10
      1.7400000000000013e+00,      9.7090615211593235e+08,     -5.5852476165266931e+08
      1.7500000000000013e+00,      3.0856265944972977e+07,      7.5566976505271241e+07
      1.7600000000000013e+00,     -5.9441858840044722e+07,     -7.9423136281211227e+06
      1.7700000000000014e+00,     -2.2638549660274461e+06,      4.5144381776164314e+06
      1.7800000000000014e+00,     -2.3740027044249037e+06,     -1.1043209611534432e+06
      1.7900000000000014e+00,      4.6335585979700781e+07,     -1.2240502218935331e+07
      1.8000000000000014e+00,      4.9862100795199573e+06,     -4.4995022322459348e+07
      1.8100000000000014e+00,      2.2961952709787667e+07,     -7.9968643216006890e+07
      1.8200000000000014e+00,     -1.7041287187260610e+08,     -8.5790323290653169e+07
      1.8300000000000014e+00,      1.6629245824063146e+08,     -8.3463080820419684e+07
      1.8400000000000014e+00,     -1.5826730766749996e+08,      6.5445660764443977e+06
      1.8500000000000014e+00,      4.5256024317115194e+08,      1.3766080471760845e+08
      1.8600000000000014e+00,     -3.8288546906159297e+07,     -1.1116848946993975e+08
      1.8700000000000014e+00,      2.9155959460842028e+07,      1.2608299458132915e+08
      1.8800000000000014e+00,     -1.4411880125489160e+08,      6.6408312572402649e+07
      1.8900000000000015e+00,     -6.0969169110753536e+07,     -5.2607928515425615e+07
      1.9000000000000015e+00,      2.9507484487756908e+08,      1.3596442459584156e+08
      1.9100000000000015e+00,      1.9291082729080766e+08,      9.2763155677982008e+08
      1.9200000000000015e+00,     -4.2904562661425877e+08,     -4.5783918583908305e+07
      1.9300000000000015e+00,      8.1957622237507313e+07,      4.0285289756517544e+07
      1.9400000000000015e+00,      9.1908426973364770e+07,      1.8538171329355573e+06
      1.9500000000000015e+00,     -4.6568839324767470e+07,     -9.5961799278460249e+07
      1.9600000000000015e+00,      4.8457150768793833e+08,      1.3382915566321819e+08
      1.9700000000000015e+00,     -4.9656481062608473e+06,      1.4753752201013425e+08
      1.9800000000000015e+00,     -1.6670373560506773e+08,     -4.9922150996331781e+08
      1.9900000000000015e+00,     -3.5040475979988247e+07,      2.2962770725236121e+06
      2.0000000000000013e+00,      5.2010411353446925e+08,      7.6527943587122589e+07
      2.0100000000000011e+00,     -1.4121314345880890e+07,     -5.4216837292922631e+07
      2.0200000000000009e+00,     -7.3900111431838199e+05,      1.8075586940377861e+07
      2.0300000000000007e+00,     -5.2121070343216192e+06,      9.5505730379732866e+06
      2.0400000000000005e+00,     -7.7465151591465309e+07,     -1.1479018648385683e+07
      2.0500000000000003e+00,     -9.1920639228549709e+09,     -4.8937199452508478e+09
      2.0600000000000001e+00,     -1.6001655026872805e+08,      6.3855936263344191e+07
      2.0699999999999998e+00,     -1.3836139862208948e+09,      2.3554636995459062e+08
