                        time,              drag_Gamma_0_2,              lift_Gamma_0_2
      6.4000000000000035e-01,     -2.2621911575202384e+03,      1.7467046955503808e+03
      6.5000000000000036e-01,      4.9952482164052844e+03,     -7.1164709225836134e+01
      6.6000000000000036e-01,      1.2395068733024053e+04,     -4.2273306898957153e+03
      6.7000000000000037e-01,      4.2061999545013117e+04,      1.7867862932363005e+04
      6.8000000000000038e-01,     -2.4602207728561392e+04,      8.2276083388099796e+03
      6.9000000000000039e-01,     -1.3292059701701604e+04,      7.3993751064032636e+04
      7.0000000000000040e-01,      1.4222257871643091e+06,      5.3567977141631581e+05
      7.1000000000000041e-01,      4.3775895085900504e+05,      1.7026356520554023e+06
      7.2000000000000042e-01,     -4.7320203010205522e+07,      5.7512941089879252e+07
      7.3000000000000043e-01,     -2.3417546079435921e+08,     -2.6578655911603156e+08
      7.4000000000000044e-01,      1.0890996934862036e+08,     -3.0954419603761327e+08
      7.5000000000000044e-01,     -1.5024941490202427e+08,     -2.1275007813619578e+08
      7.6000000000000045e-01,     -6.5339218372918987e+08,      6.5443841196582234e+08
      7.7000000000000046e-01,      2.5495034898183423e+08,      1.0736116167834240e+08
      7.8000000000000047e-01,      2.6460469673439704e+07,      5.7716208983102581e+06
      7.9000000000000048e-01,      1.8599671243215360e+07,     -3.8847616863431320e+07
      8.0000000000000049e-01,      3.5005727958428413e+07,     -2.7984383484513357e+07
      8.1000000000000050e-01,      2.9922788222192302e+06,      2.8698800365914438e+07
      8.2000000000000051e-01,      7.6910692434518427e+07,      1.7752456448411934e+07
      8.3000000000000052e-01,      3.6166551877039790e+07,     -4.8857073474719241e+07
      8.4000000000000052e-01,      2.1646524892003369e+07,     -1.6641195954651486e+07
      8.5000000000000053e-01,      1.6252978283520043e+06,      1.5547420701491258e+08
      8.6000000000000054e-01,      1.5179749175786611e+08,      1.1178576742362598e+08
      8.7000000000000055e-01,     -6.2087397280009642e+07,      1.3391550271511525e+07
      8.8000000000000056e-01,      2.5357563439605109e+07,     -9.8235217187782787e+06
      8.9000000000000057e-01,     -3.3460771203257777e+06,      3.3516360413321905e+07
      9.0000000000000058e-01,      7.6134220549771786e+08,     -2.1030011977541420e+09
      9.1000000000000059e-01,     -2.6955108545347279e+08,     -1.7947075008099905e+08
      9.2000000000000060e-01,      6.3265446454219416e+07,      1.6327170555974683e+08
      9.3000000000000060e-01,     -2.3820549585496955e+07,      1.0904690818077268e+07
      9.4000000000000061e-01,      2.1505333705560721e+07,     -3.7741332850993238e+07
      9.5000000000000062e-01,     -1.4233327586134324e+07,     -1.1093980666355824e+07
      9.6000000000000063e-01,      9.7751912624321729e+06,      6.7831118133964241e+06
      9.7000000000000064e-01,     -2.0310956738682139e+08,     -1.5580587612540966e+07
      9.8000000000000065e-01,      1.9244752611657268e+08,     -2.7788331908954966e+08
      9.9000000000000066e-01,      3.2217908425512929e+09,      1.1248169181859200e+09
      1.0000000000000007e+00,     -1.1564584175873234e+10,      5.7575021433312502e+09
      1.0100000000000007e+00,     -5.1742900379850731e+09,     -7.7592878668984902e+08
      1.0200000000000007e+00,      3.4360076203658903e+08,      2.8444445403599787e+09
      1.0300000000000007e+00,     -2.5383499112359148e+08,      1.8637613237163866e+08
      1.0400000000000007e+00,      6.0180588859893572e+08,      1.6015371758758828e+08
      1.0500000000000007e+00,     -2.8805088326828671e+08,     -1.6935031784045485e+08
